*natural development	

-100th	1	6027
-1025b25	1	11898
-10thlargest	1	7430
-11volume	1	12508
-11year	1	11703
-12th	3	6809
-12yearold	1	3503
-12°e	1	7168
-13th	2	6810
-14v	1	10529
-150billion	1	7112
-157th	1	8722
-15page	1	4324
-15q133	1	2972
-15thcentury	1	8223
-1600s	1	8797
-167th	1	9135
-16p131	1	2973
-16th	5	5636
-1770s	1	8473
-1780s	1	10669
-1790s	1	296
-17p12	1	2974
-17th	3	257
-1800s	1	10674
-1820s	1	8494
-1830s	2	8495
-1840s	1	11609
-1850s	2	8440
-1860s	1	529
-1864alta	1	11310
-1880s	1	948
-1890s	1	158
-18th	3	6857
-18thcentury	1	1597
-1900–1920s	1	11650
-1910s	1	1033
-1920s	4	869
-1930s	5	1172
-1940s	5	851
-1950s	4	167
-1960s	8	1438
-1970s	8	1439
-1972s	1	4316
-1980s	5	2437
-1985a	1	10551
-1985b	1	10554
-1985m	1	7139
-199063rd	1	13366
-1990s	6	3440
-199164th	1	13377
-199265th	1	13387
-199366th	1	13398
-199467th	1	13408
-199568th	1	13417
-199669th	1	13428
-199770th	1	13437
-199871st	1	13445
-199972nd	1	13452
-19th	6	277
-19thcentury	1	1665
-19thlargest	1	8606
-19yearold	1	7120
-1q211	1	2970
-1st	2	9546
-200073rd	1	13461
-2000s	2	3441
-200174th	1	13473
-200275th	1	13485
-200376th	1	13493
-200477th	1	13502
-200578th	1	13512
-200679th	1	13519
-200780th	1	13532
-200881st	1	13539
-200982nd	1	13552
-201083rd	1	13566
-2010anarchosyndicalism	1	1836
-2010s	1	13565
-201184th	1	13582
-201285th	1	13587
-201386th	1	13594
-201487th	1	13607
-201588th	1	13614
-201689th	1	13626
-20th	5	2022
-20thcentury	1	12042
-21st	4	1493
-22nd	1	8484
-23rd	2	3575
-24karat	1	3766
-24thmost	1	8358
-2500word	1	5601
-25th	3	4327
-26th	1	7846
-28sided	1	8619
-29th	1	3695
-2nd	4	2270
-300ce	1	2295
-300piece	1	4521
-305x305px	1	8237
-30thmost	1	8357
-30year	1	5091
-319b–320a	1	12024
-37°n	1	7165
-3dprinted	1	3804
-3rd	3	10008
-3way	1	7483
-40th	1	4121
-42nd	1	4199
-43rd	1	4310
